time,rfid,weight,imageID
2020-02-19 14:57:35.589737,,846.9,IMG_021920_145721.png
2020-02-19 14:58:29.648542,test,2340.3,IMG_021920_145828.png
2020-02-19 15:02:55.263448,,205.7,IMG_021920_150253.png
2020-02-19 15:03:15.021363,,61.8,IMG_021920_150313.png
2020-02-19 15:03:37.962421,,133.0,IMG_021920_150336.png
2020-02-19 15:07:00.933302,,1601.1,IMG_021920_150659.png
2020-02-19 15:07:12.530062,,3586.8,IMG_021920_150710.png
2020-02-19 15:07:20.696142,00-0763-455C,218.4,IMG_021920_150719.png
2020-02-19 15:07:48.744516,00-0763-455C,579.2,IMG_021920_150747.png
2020-02-19 15:09:07.862031,,2583.8,IMG_021920_150906.png
2020-02-19 15:09:16.052387,,73.2,IMG_021920_150914.png
2020-02-19 15:09:30.911334,,3106.6,IMG_021920_150929.png
2020-02-19 15:11:56.785927,,970.8,IMG_021920_151155.png
2020-02-19 15:12:13.290973,00-0763-455C,2658.0,IMG_021920_151211.png
