time,rfid,weight,imageID
2020-02-17 16:31:26.022686,,2225.5,IMG_021720_163118.png
2020-02-17 16:31:36.624451,,2029.7,IMG_021720_163132.png
2020-02-17 16:31:47.138335,,2029.0,IMG_021720_163143.png
2020-02-17 16:31:55.342388,,2028.7,IMG_021720_163154.png
2020-02-17 16:32:02.035078,,2028.5,IMG_021720_163200.png
2020-02-17 16:32:12.394600,,2028.5,IMG_021720_163208.png
2020-02-17 16:36:18.465185,,2025.4,IMG_021720_163611.png
2020-02-17 16:36:28.703519,,2025.7,IMG_021720_163626.png
2020-02-17 16:36:38.082539,,2025.7,IMG_021720_163635.png
2020-02-17 18:13:36.335275,,1506.8,IMG_021720_181328.png
2020-02-17 18:13:52.084554,,1349.6,IMG_021720_181349.png
2020-02-17 18:14:29.059369,00-0763-455C,1681.5,IMG_021720_181426.png
2020-02-17 18:15:45.196631,,2129.5,IMG_021720_181543.png
2020-02-17 18:15:53.464407,,1887.5,IMG_021720_181552.png
2020-02-17 18:16:11.781870,00-0763-455C,731.1,IMG_021720_181610.png
2020-02-17 18:16:38.663830,00-0763-455C,2775.9,IMG_021720_181637.png
2020-02-17 18:17:12.029045,00-0763-455C,2036.2,IMG_021720_181710.png
2020-02-17 18:17:50.826670,00-0763-3ADF,1108.3,IMG_021720_181749.png
2020-02-17 18:18:07.258255,,2498.0,IMG_021720_181805.png
2020-02-17 18:18:22.092197,,2388.2,IMG_021720_181820.png
2020-02-17 18:18:36.916253,,2792.1,IMG_021720_181835.png
2020-02-17 18:19:04.393397,00-0763-455C,3516.8,IMG_021720_181902.png
2020-02-17 18:23:10.826987,,2739.7,IMG_021720_182308.png
2020-02-17 18:25:03.092683,,1601.4,IMG_021720_182501.png
2020-02-17 18:25:21.257121,,230.1,IMG_021720_182519.png
2020-02-17 18:25:29.278936,00-0763-3ADF,230.2,IMG_021720_182527.png
2020-02-17 18:25:37.387169,,230.2,IMG_021720_182535.png
2020-02-17 18:25:45.525180,,230.2,IMG_021720_182544.png
2020-02-17 18:25:53.617795,,230.2,IMG_021720_182552.png
2020-02-17 18:26:01.639210,,230.3,IMG_021720_182600.png
2020-02-17 18:26:09.702593,00-0763-3ADF,230.3,IMG_021720_182608.png
2020-02-17 18:26:17.779987,,230.2,IMG_021720_182616.png
2020-02-17 18:26:34.265976,,1515.4,IMG_021720_182632.png
2020-02-17 18:27:00.924589,00-0763-3ADF,2318.9,IMG_021720_182659.png
2020-02-17 18:27:12.376789,,230.5,IMG_021720_182710.png
2020-02-17 18:27:20.408680,,230.3,IMG_021720_182719.png
2020-02-17 18:28:37.788222,,1480.2,IMG_021720_182836.png
2020-02-17 18:28:45.848235,00-0763-3ADF,534.3,IMG_021720_182844.png
2020-02-17 18:29:04.098133,,1495.5,IMG_021720_182902.png
2020-02-17 18:29:27.420497,,2372.8,IMG_021720_182925.png
2020-02-17 18:29:45.426101,,2008.8,IMG_021720_182944.png
2020-02-17 18:30:13.632111,00-0763-3ADF,1189.7,IMG_021720_183012.png
2020-02-17 18:31:16.466849,,2152.5,IMG_021720_183114.png
2020-02-17 18:31:34.801072,00-0763-3ADF,1046.2,IMG_021720_183133.png
2020-02-17 18:33:13.316859,,65.0,IMG_021720_183311.png
2020-02-17 18:33:31.848196,,2092.3,IMG_021720_183330.png
2020-02-17 18:33:44.962117,,1710.9,IMG_021720_183343.png
2020-02-17 18:35:20.155145,,1522.5,IMG_021720_183518.png
2020-02-17 18:35:41.966984,,474.6,IMG_021720_183540.png
2020-02-17 18:36:39.822594,,235.5,IMG_021720_183638.png
2020-02-17 18:36:47.872583,,231.1,IMG_021720_183646.png
2020-02-17 18:47:39.425426,,1958.9,IMG_021720_184737.png
2020-02-17 18:47:47.421074,,1379.8,IMG_021720_184746.png
2020-02-17 18:47:58.727543,,336.4,IMG_021720_184757.png
2020-02-17 18:48:20.403518,,1607.9,IMG_021720_184818.png
2020-02-17 18:54:28.779863,    Looking00-0763-3ADF,1630.3,IMG_021720_185427.png
2020-02-17 18:56:22.183947,,2246.0,IMG_021720_185620.png
2020-02-17 18:57:20.597421,,1361.9,IMG_021720_185719.png
2020-02-17 18:58:46.536334,,367.9,IMG_021720_185845.png
2020-02-17 19:03:10.023085,00-0763-455C,1766.8,IMG_021720_190133.png
2020-02-17 19:03:49.548063,00-0763-455C,1154.3,IMG_021720_190348.png
2020-02-17 19:04:01.159199,,563.3,IMG_021720_190359.png
2020-02-17 19:04:11.102230,00-0763-3ADF,1249.6,IMG_021720_190409.png
